topic_id,post_number,post_id,date,topic_title,category,reply_to_user,word_count,post_url,fetched_at
er Rose," 2023 Platt Chard""",WINE TALK,,25,https://www.wineberserkers.com/t/tn-2009-raveneau-2000-verset-nv-laurent-perrier-rose-2023-platt-chard/348756/10,2026-05-05T09:53:41+00:00,,,
109216,15,1686641,2015-06-14,08 Giuseppe Rinaldi Brunate Le Coste - how much air?,WINE TALK,,108,https://www.wineberserkers.com/t/08-giuseppe-rinaldi-brunate-le-coste-how-much-air/109216/15,2026-05-07T05:32:05+00:00
109232,2,1686636,2015-06-14,Recent Pepe Releases,WINE TALK,,46,https://www.wineberserkers.com/t/recent-pepe-releases/109232/2,2026-05-07T05:32:05+00:00
109234,13,1686771,2015-06-14,"""Low shoulder"" for a 1966 bdx EDIT: now with pictures!",WINE TALK,,141,https://www.wineberserkers.com/t/low-shoulder-for-a-1966-bdx-edit-now-with-pictures/109234/13,2026-05-07T05:32:05+00:00
109234,14,1686775,2015-06-14,"""Low shoulder"" for a 1966 bdx EDIT: now with pictures!",WINE TALK,,88,https://www.wineberserkers.com/t/low-shoulder-for-a-1966-bdx-edit-now-with-pictures/109234/14,2026-05-07T05:32:05+00:00
109250,6,1687158,2015-06-15,2013 Coudert Fleurie Clos de la Roilette,WINE TALK,,42,https://www.wineberserkers.com/t/2013-coudert-fleurie-clos-de-la-roilette/109250/6,2026-05-07T05:32:05+00:00
109250,8,1687163,2015-06-15,2013 Coudert Fleurie Clos de la Roilette,WINE TALK,,11,https://www.wineberserkers.com/t/2013-coudert-fleurie-clos-de-la-roilette/109250/8,2026-05-07T05:32:05+00:00
109250,10,1687236,2015-06-15,2013 Coudert Fleurie Clos de la Roilette,WINE TALK,,41,https://www.wineberserkers.com/t/2013-coudert-fleurie-clos-de-la-roilette/109250/10,2026-05-07T05:32:05+00:00
109234,41,1687938,2015-06-16,"""Low shoulder"" for a 1966 bdx EDIT: now with pictures!",WINE TALK,,44,https://www.wineberserkers.com/t/low-shoulder-for-a-1966-bdx-edit-now-with-pictures/109234/41,2026-05-07T05:32:05+00:00
109234,44,1687949,2015-06-16,"""Low shoulder"" for a 1966 bdx EDIT: now with pictures!",WINE TALK,,5,https://www.wineberserkers.com/t/low-shoulder-for-a-1966-bdx-edit-now-with-pictures/109234/44,2026-05-07T05:32:05+00:00
100254,36,1688963,2015-06-17,"A lovely $30 Bordeaux:  1999 Les Carmes Haut Brion, Pessac-Leognan",WINE TALK,,28,https://www.wineberserkers.com/t/a-lovely-30-bordeaux-1999-les-carmes-haut-brion-pessac-leognan/100254/36,2026-05-07T05:32:05+00:00
109299,37,1688974,2015-06-17,The wines of Henri Jayer,WINE TALK,,5,https://www.wineberserkers.com/t/the-wines-of-henri-jayer/109299/37,2026-05-07T05:32:05+00:00
