# Curated country/region map for Berserkers thread producers that have no
# wiki/producers/ page (pages are authoritative and win over this file).
# Format: <raw_name exactly as in the thread JSON><TAB><country><TAB><region>
# Best-effort hand classification; the obscure single-mention tail + parse
# noise is intentionally left out (shows blank). Regenerate the search pages
# after editing:  python scripts/build_wb_search_page.py --apply
Bedrock	USA	Sonoma
Rhys	USA	Santa Cruz Mountains
Ridge	USA	Santa Cruz Mountains
Ridge Vineyards	USA	Santa Cruz Mountains
Ridge MB	USA	Santa Cruz Mountains
Rivers-Marie	USA	Sonoma
Williams-Selyem	USA	Sonoma
Williams Selyem	USA	Sonoma
William Selyem	USA	Sonoma
WilliamsSelyem	USA	Sonoma
Jadot	France	Burgundy
Carlisle	USA	Sonoma
Goodfellow	USA	Willamette Valley
JJ Prum	Germany	Mosel
JJ Pruem	Germany	Mosel
JJPrum	Germany	Mosel
JJ Christoffel	Germany	Mosel
JJChristoffel	Germany	Mosel
Christoffel	Germany	Mosel
Saxum	USA	Paso Robles
Huet	France	Loire
Bruno Giacosa	Italy	Piedmont
B Giacosa	Italy	Piedmont
BrunoGiacosa	Italy	Piedmont
Dujac	France	Burgundy
Keller	Germany	Rheinhessen
SQN	USA	Central Coast
Chevillon	France	Burgundy
Chevillion	France	Burgundy
Fourrier	France	Burgundy
Krug	France	Champagne
Myriad	USA	Napa
Pegau	France	Southern Rhône
Gonon	France	Northern Rhône
Aubert	USA	Sonoma
Montrose	France	Bordeaux
Pontet Canet	France	Bordeaux
Walter Scott	USA	Willamette Valley
Bouchard	France	Burgundy
Patricia Green	USA	Willamette Valley
Patty Green	USA	Willamette Valley
Dauvissat	France	Chablis
R&V Dauvissat	France	Chablis
Realm	USA	Napa
Ceritas	USA	Sonoma
Drouhin	France	Burgundy
Mugneret-Gibourg	France	Burgundy
Mugnernet Gibourg	France	Burgundy
Gibourg	France	Burgundy
Cayuse	USA	Walla Walla
Barthod	France	Burgundy
B. Mascarello	Italy	Piedmont
Kelley Fox	USA	Willamette Valley
Foillard	France	Beaujolais
Faiveley	France	Burgundy
Cappellano	Italy	Piedmont
Rousseau	France	Burgundy
Lopez de Heredia	Spain	Rioja
Beta	USA	Napa
Turley	USA	Napa
Leoville-Barton	France	Bordeaux
Langoa-Barton	France	Bordeaux
Langoa Barton	France	Bordeaux
Kutch	USA	Sonoma
Cedric Bouchard	France	Champagne
Copain	USA	Sonoma
Halcon	USA	Mendocino
Coudert	France	Beaujolais
Lafarge	France	Burgundy
Selbach-Oster	Germany	Mosel
Selbach	Germany	Mosel
Raveneau	France	Chablis
Felsina	Italy	Tuscany
G. Rinaldi	Italy	Piedmont
Beaucastel	France	Southern Rhône
Von Schubert	Germany	Mosel
Grunhaus	Germany	Mosel
Cameron	USA	Willamette Valley
Kinsman Eades	USA	Napa
Kinsman	USA	Napa
Alban	USA	Central Coast
d'Angerville	France	Burgundy
D'Angerville	France	Burgundy
Angerville	France	Burgundy
Chave	France	Northern Rhône
Jean-Louis Chave	France	Northern Rhône
Domaine Jean-Louis Chave	France	Northern Rhône
Chidaine	France	Loire
Trimbach	France	Alsace
Scherrer	USA	Sonoma
DRC	France	Burgundy
Domaine de la Romanée-Conti	France	Burgundy
Dom de la Romanee Conti	France	Burgundy
Dom P	France	Burgundy
de Villaine	France	Burgundy
Roumier	France	Burgundy
Sojourn	USA	Sonoma
Peay	USA	Sonoma
Thomas	USA	Willamette Valley
John Thomas	USA	Willamette Valley
MacDonald	USA	Napa
Rochioli	USA	Sonoma
Arcadian	USA	Central Coast
Dehlinger	USA	Sonoma
Quilceda Creek	USA	Columbia Valley
G. Mascarello	Italy	Piedmont
GMascarello	Italy	Piedmont
Roulot	France	Burgundy
Roulot T	France	Burgundy
Leoville Poyferre	France	Bordeaux
Leoville-Poyferre	France	Bordeaux
Lauer	Germany	Saar
Musar	Lebanon	Bekaa Valley
Ultramarine	USA	Sonoma
Mount Eden	USA	Santa Cruz Mountains
Mount Eden Vineyards	USA	Santa Cruz Mountains
Mount Eden PN	USA	Santa Cruz Mountains
Montevertine	Italy	Tuscany
Azienda Agricola Montevertine	Italy	Tuscany
Leoville Las Cases	France	Bordeaux
Leoville Lascases	France	Bordeaux
Clos du Marquis	France	Bordeaux
Lapierre	France	Beaujolais
Maison Ilan	France	Burgundy
Mason Ilan	France	Burgundy
Kistler	USA	Sonoma
Dunn	USA	Napa
Dunn Vineyards	USA	Napa
Dunn Howell Mtn	USA	Napa
Dunn Howell Mountain	USA	Napa
Dunn HM	USA	Napa
Vilmart	France	Champagne
Vilmart & Cie	France	Champagne
Bevan	USA	Napa
Bevan Cellars	USA	Napa
Kobayashi	USA	Napa
Outpost	USA	Napa
Marcassin	USA	Sonoma
Mugnier	France	Burgundy
JF Mugnier	France	Burgundy
Jacques-Frédéric Mugnier	France	Burgundy
Jacques-Frederic Mugnier	France	Burgundy
Freddy Mugnier	France	Burgundy
Truchot	France	Burgundy
Domaine Truchot-Martin	France	Burgundy
Fingers Crossed	USA	Napa
Hubert Lignier	France	Burgundy
Vajra	Italy	Piedmont
Bertheau	France	Burgundy
Domaine Bertheau	France	Burgundy
Merry Edwards	USA	Sonoma
Soldera	Italy	Tuscany
Case Basse (Soldera)	Italy	Tuscany
Vietti	Italy	Piedmont
Lynch Bages	France	Bordeaux
Tensley	USA	Santa Barbara
Spottswoode	USA	Napa
Tempier	France	Provence
Domaine Tempier	France	Provence
Pax	USA	Sonoma
PAX	USA	Sonoma
Betz	USA	Columbia Valley
Betz Family	USA	Columbia Valley
Shafer	USA	Napa
PYCM	France	Burgundy
Guffens-Heynen	France	Burgundy
Guffens Heynen	France	Burgundy
Julian Haart	Germany	Mosel
Ulysse Collin	France	Champagne
Bachelet	France	Burgundy
Jean-Claude Bachelet	France	Burgundy
Pepiere	France	Loire
Domaine de la Pepiere	France	Loire
Domaine de la Pépière	France	Loire
Grivot	France	Burgundy
Jean Grivot	France	Burgundy
Domaine Jean Grivot	France	Burgundy
Lafite	France	Bordeaux
Château Lafite	France	Bordeaux
Egly-Ouriet	France	Champagne
Egly Ouriet	France	Champagne
Roy	France	Burgundy
Piper	USA	Napa
Chappellet	USA	Napa
Vincent	France	Burgundy
Vallana	Italy	Piedmont
Antonio Vallana	Italy	Piedmont
