title,url,body  
"The Return of Max Kilburg: Grand Cru Trocken, Spatlese, and SpatburgunderApril 06, 2026",https://chambersstwines.com/blogs/articles/the-return-of-max-kilburg-grand-cru-trocken-spatlese-and-spatburgunder,"4/6/26 - If you were lucky enough to snag some of the 2024 Max Kilburg Kabinett Rieslings when we offered them back in December, hopefully you have popped open a bottle (or two) and have learned first hand just how spectacular these wines are. I am guilty of opening many of his bottles at home and ordering them off wine lists across the city as I find these to be some of the most compelling wines, and one of the best values in the Mosel for Riesling. I simply cannot seem to get enough of them\! Today I am excited to share the newest release of his Grand Cru Trocken, Spatlese, and Spatburgunder bottlings\! Even as the 20th generation winemaker of his family's historic estate, Max Kilburg has quickly begun to make a name for himself. With his first vintage (in 2019) leading Mosel Fine Wines to call his Kabinetts, ""firm, precise, racy, and hugely profound,"" it's clear something special is happening here\! Since starting in 2019, Max has expanded a little bit, acquiring an older-vine parcel in Ohligsberg Grand Cru but in truth he is barely farming two hectares of his own vines. But as we know, sometimes the smallest are the mightiest. Max has since taken Riesling drinkers by storm\! All of the wines available today come from either Ohligsberg or Goldtropfchen, both Grosse Lage, or Grand Cru sites in the Mosel, but quite different stylistically. Ohligsberg is directly on the Mosel with most vineyards facing west. There is a 40-80% gradient (really steep\!\!) so all labor must be done manually. The soil is grey-blue slate with quartzite bands. With the Mosel river being quite wide here, there is great reflection of the sun that is then stored well in the dark soils helping to get peak ripeness. Wines from here are traditionally quite mineral driven with strong acidity and lots of intensity. Goldtropfchen creates an amphitheater around Piesport on the outer bend of the Mosel providing mainly southeast to southwest exposures. This juxtaposition provides long hours of sunshine with protection from the wind too. The vineyards are steep here too but closer to 30-70% gradient with deep, dark Devon slate soils that contain quartz and minerals. Wines from here tend to be richer and more fruit driven than their counterparts in Ohligsberg. The parcel of Pinot Noir is in the Ohligsberg and was planted by Max's father in the mid-1980s. Max fully destemmed the fruit before fermenting and aging in matured oak barriques for 18 months. The result is a smooth, fresh, silky, Spatburgunder with excellent fruit and layered complexity. Between his small hectares under vines and the loss with the 2024 vintage, there are limited quantities available for all of these wines. We have taken as much as we possibly can, because once you try these wines you will not be able to resist opening more. With that, I would reccomend if you have the patience, to let the Spatlese age for a little as it will continue to evolve beautifully with more bottle age. -Hanna Krilov Cohen \>\>\>VIEW THE WINES\<\<\<"  
"Our Best Values are Back: The Beautiful Bourgueils of Stéphane Guion, and More\!April 04, 2026",https://chambersstwines.com/blogs/articles/our-best-values-are-back-the-beautiful-bourgueils-of-stephane-guion-and-more,"4/4/26 - Since discovering the wines of Stephane Guion, back in 2009, I have considered his wines to be the best values in the store. But of course it's not all about the value as Stephane's wines offer a unique and beautiful expression of the superb clay/limestone terroirs in Benais (Bourgueil) with firm acidity and beautiful earth and mineral flavors underneath the deep red and black fruits of the Cabernet Franc grapes. Superb quality, regardless of price\! Domaine Guion was created by Stéphane's father in the 1950's and was certified organic beginning in 1965, and is now certified Biodynamic as well. The estate's 8 hectares are all in Benais mostly on Turonien limestone with varied depths of clay topsoil. Only 15% of the vines are on gravel topsoil, in ""La Ruée,"" used primarily for the rosé and a small amount in the Cuvée Candide. The parcels are just west of Domaine de la Chevalerie and Domaine Breton, in the northern sector of Benais, on slopes facing south and southwest, which is prime real estate for ageworthy, mineral-laden Bourgueils\! The estates 60 years of organic farming are supplemented by Stéphane's no-nonsense winemaking - hand harvesting, fermentations with wild yeasts, a small addition of SO2 only after the malo and aging in cuve and used barrels. The wines are always marked by firm acidity and fantastic minerality - bravo to Stéphane Guion\! Just arrived is the full range of Stéphane's wines, 2018 to 2023: Featuring the amazing 2022 ""Cuvée Candide"" $17.99\! Deep, dark and delicious with wonderful earth tones and good acidity, this wine is drinking beautifully - enjoy for another 5 - 8 years\! 2023 ""Les Pionniers"" $18.99 Dedicated to Stéphane's parents, ""pioneers"" in organic farming beginning in 1964, among the first in France, and now biodynamic. This is his first wine vinified and bottled with zero-added sulfur dioxide\! 2019 Cuvee Authentique $19.99 Gorgeous aromas of red and black fruits with floral, earth and herbal notes, quite pretty and ripe. The palate shows deeper black fruits, earth, spice and stone with the intense mineral character and firm acidity always present in Stephane's wines. Enjoy until 2035 2018 Cuvée des Deux Monts $29.99 From 70-80 year-old vines in ""Petit Mont"" and ""Grand Mont"" towards the top of the slope above Benais, facing roughly south-west, clay over Turonien limestone (tuffeau, craie micacée). This is the terroir giving the most elegant and age-worthy Bourgueils - enjoy until 2045. 2020 Cuvée Grand Mont $31.99 A great wine from great terroir. The palate is beautifully balanced with a silky texture, round tannins and beautiful blackberry and black currant fruit, dark chocolate and earth with lovely freshness. Mineral flavors, firm acidity and ripe fruits continue in the long finish. Enjoy over the next 20 years. 2023 Bourgueil Rosé $16.99 Finally close to maturity\! It takes a few years for Stephane's Rosé to shed a bit of its bracing acidity and for the ripe berry fruits to fully emerge. A product of serious limestone/gravel terroir, this is the perfect wine for grilled chicken on a hot day this summer - and all year-round. NV (2023) Methode Traditionelle Rosé ""Bete de Benais"" $19.99 Stéphane has made his first ever methode traditionnelle sparkling rosé from Cabernet Franc vines in a new parcel on clay/limestone soils in Benais. Delightful wine\! And in 2023, Stéphane made a Crémant de Loire $19.99 The wine shows a very slight blush of pink, with hints of rose, red currant and citrus fruit, surprisingly elegant. The mousse is lively and bright, in perfect balance with subtle red fruits, citrus, stone and minerals, finishing with hints of red berries and creamy acidity. Wow, delicious\! \*Our Best Values\! For today's offer I asked the staff to choose their favorite wines in the store that offer a similar level of quality and value to those of Domaine Guion. Here are some Staff Favorites for quality and value: Orsi Vigneto San Vito Vino Bianco Frizzante $24.99 Federico Orsi is making some of my favorite wines just outside Bologna. He is a farmer first, growing vegetables for local restaurants, breeding Mora Romagnola pigs, and tending to vines of native grapes like Pignoletto. Today's wine is a Frizzante of Pignoletto bottled with its lees to achieve a fun, frothy and gastronomic wine. I will be sipping this all Spring and Summer in Prospect Park with things like prosciutto & melon, rosemary crackers, and various cheeses\! - Marisa 2022 Kolfok Intra\! The Wild Red $28.99 Just in time for Spring comes Kolfok's Intra\! The Wild Red, an organically farmed Blaufrankisch from a cool north facing vineyard In Burgenland. All the grapes are destemmed, undergo intracellular fermentation, and then aging takes place in large used 1200 liter Austrian barrels. The nose has beautiful notes of cherry and plum. It is an incredibly lively wine with juicy fruit and a light, fresh finish\! Perfect served with a slight chill, an excellent choice as we move towards warmer months. - Hann"  
"Returning Favorites: Fantastic 2023s from Rapet\!April 03, 2026",https://chambersstwines.com/blogs/articles/returning-favorites-fantastic-2023s-from-rapet,"4/3/26 - Chambers Street Wines has been offering the fantastic Burgundies of Vincent Rapet for over 20 years, and I am excited to share that the 2023s are not to be missed. From fun, textural white wines, to elegant, fresh, and fruit driven reds, these are excellent wines to help lead you into Spring. At a recent tasting, I really got to dive into the new vintage, and it was clear how simply delicious these wines are. These are not flashy wines, but humble, terroir driven beauties. What I especially appreciate about Rapet, is how there feels like there is something for everyone. There are every-day drinkers with the Aligote and Bourgogne Rouge, and wines that are a step up, and great to drink now or over the next few years with the village Pernand-Vergelesses, Chorey-les-Beaune, and Savigny-les-Beaune. Finally, there are the wines built for long aging with their Cote de Beaune Premier and Grand Crus. The Rapet family can trace their roots in Burgundy back to 1765, but for time's sake, lets fast forward a bit to the 1991 when Vincent Rapet joined his father Roland at the domaine. With his arrival came a steady improvement in vineyard management, and they are now in the conversion to fully organic farming across all 20 hectares. This can be quite challenging with the steep slopes of Pernand-Vergelesses, but the next generation, Robin and Louis are helping to ensure these farming adjustments are possible. In the cellar, there is a light touch with the white wines being vinified and aged on the fine lees for 12-18 months before bottling, new oak is capped at 20%. The reds see on average 30% whole cluster fermentation, to get more complexity and more vibrant fruit expression. The end result is friendly, approachable, tasty white and red Burgundy, perfect for any occasion. -Hanna Krilov Cohen \>\>\>VIEW THE WINES\<\<\<"  
"Plenty of Palomino\! Featuring Luis Perez, El Piraña, Envinate and More\!",https://chambersstwines.com/blogs/articles/plenty-of-palomino-featuring-luis-perez-el-pirana-envinate-and-more,"4/2/26 - You would be hard pressed to find a grape as versatile as Palomino. Throughout history it has been vinified in a virtually endless variety of styles: the many sherries of Andalusia, the mineral Listan Blancos of the Canary Islands, and the lively blends of Galicia to name a few. Despite all of this merit, Palomino is seldom put in the same conversation as other “great” varieties. The terms most often associated with the grape itself are ‘neutral’ and ‘high-yielding’, which, while true, don’t do it justice. A quick internet search reveals that even Wikipedia is skeptical of Palomino’s potential for quality outside of sherry production, saying, “the wine formed by fermentation of the grape is low in both acidity and sugar which, whilst suitable for sherry, ensures that any table wine made from it is of a consistently low quality, unless aided by acidification.” Nonsense\! It sounds as though whoever wrote that was never introduced to our wines on offer today. The vino de pastos (unfortified wines) in particular are very high-quality, acid-driven wines. Palomino and its many different iterations serve as a great reminder that there is ultimately no gold-standard in winemaking; it’s the same reason points systems are futile in reviewing wines. There’s no such thing as the right amount of acid, body, alcohol, aromatics, etc. Instead, it is the more nuanced ways in which these elements work in harmony that give way to a wine’s ultimate profile. All of the big wine critics could give a wine 100 points and yet we’d all continue to pursue wines that satisfy our different tastes. Today’s offer highlights wines from producers we consider to be getting the very best out of this exceptional grape. Palomino being inextricably linked to sherry, there’s no better place to start than Andalusia. The winemaker who admittedly gave me the idea to do a Palomino email in the first place was Luis Perez. What initially blew me away was a wine that had caught my eye in the past but which I’d never gotten to try: his Champagne-method El Corregidor Espumoso. From a single parcel in Carrascal, the wine is aged in sherry casks for a year under flor before sun-dried Pedro Ximenez must is added at bottling/ secondary fermentation. Talk about upending people’s preconceptions of Palomino\! There is a lot of energy in the wine from its high acidity, and there’s certainly a lengthy mineral texture, but it’s the sun-kissed, nutty, spicy qualities that separate the wine from your average Champagne; quite different from anything I’ve ever tasted. Furthermore, the Caberrubia Saca IX is a great example of what there is to love about the shift towards single-parcels in the Sherry Triangle. It is relatively intense for a Fino (declassified), but in a harmonious and balanced way. The rich and oxidative nose is complemented by potent salinity and an extremely drying finish. Luis opened the bodega in 2002 with his son, Willy, who is now more officially in charge of the winemaking. Willy has become a huge figure in today’s Andalusian winemaking scene as his collaboration with Ramiro Ibanez (of Cota 45/ UBE fame), under the M. Antonio de la Riva label has garnered lots of praise. Along with Willy and Luis, a host of likeminded winemakers have emerged in the region who are unlocking Palomino’s potential for exceptional unfortified wines. Among them is Juan Francisco Pulido Cabral, who has been making wine under the label “El Piraña” since 2022. Having inherited vines from his father that had already been farmed organically since the ‘90’s, Juan is producing brilliant, unfortified, parcel-specific wines. His style involves a lot of finesse, as he often deliberately keeps the flor from over imposing on the pure fruit that lays at the core of his wines; to achieve this, he often fills up his botas more than usual. On offer today are his 2023 Tarbissana (a non-oxidative blend of parcels in Trebujuena), and 2023 Alventus (from a single pago along the Guadalquivir River). Lastly, as a cherry on top, we’ve brought in the new vintages of what I would call two modern day classics in the form of Muchada-Leclapart’s Lumiere and Envinate’s Benje Blanco. With all of the different styles put forth by all of these producers, there’s something for everyone to love about Palomino. Be it oxidative or not, fortified or unfortified, rich or elegant, complex or easy-drinking, there will always be more layers of the grape to uncover. As someone who is constantly tasting wines, it’s always a great feeling when a wine catches you off guard, defying expectations. Almost all of the wines on offer today have had this effect on me, and I couldn’t be happier to be offering them out today. Get them while you can\! -Nick Douglas \>\>\>VIEW THE WINES\<\<\<"  
Private Collection Recap - Week of 3/30,https://chambersstwines.com/blogs/articles/private-collection-recap-week-of-3-30,"3/31/26 - This week was all about California, with two awesome collections covering several decades and a who's who of historic wineries from the Golden State. Too much for one offer, we rolled out the collection in two parts. Cab Fare Part 1 Cab Fare Part 2 Click on the links above to view the collections\!"  
Limited Edition 3-Pack from Champagne Ponson,https://chambersstwines.com/blogs/articles/limited-edition-3-pack-from-champagne-ponson,"3/30/26 - When it comes to winemaking techniques, there are countless choices during the process that affect the way the wine ends up tasting. For us consumers (and wine nerds) those decisions affect us, but we don't necessarily get to understand how that truly translates in the final wine. Since most winemakers tend to stick to a particular style, we can't always tell the true affect of some winemaking decisions, and although they often experiment, they don't normally leave the winery. But today, that changes thanks to Max Ponson\! If you've been with us for a while, you will recognize Champagne Ponson as a shop favorite, we almost always have their 1er Cru bottling in the fridge and on our shelves. Today, we're highlighting a Blanc de Blancs of Chardonnay from the 2018 vintage from the lieu-dit of Barbaries. Immediately after pressing, Max separated the juice into three separate vessels: neutral oak barrel, stainless steel tank, and a porcelain amphora custom made in Limoges. All other winemaking has been consistent across the three bottlings, allowing the fermentation vessel to shine through. After tasting through these myself, I think the best way to enjoy these is to find a few friends and open all three bottles together. This can be both a fun educational experiment, but at the end of the day they are also just delicious Champagnes\! From these three different vessels you can expect some of the following: Stainless steel helps preserve those bright, fresh fruit flavors, along with a more crisp, vibrant finish. Oak barrels provide some oxidation for the wine as well as impart flavor such as toasty brioche notes, and in the case of newer oak some vanilla. Porcelain lives in between the two providing the minor amounts of oxidation that oak provides while not imparting any flavor. It tends to add texture and can retain fruit purity. But the best way to learn about these different fermentation vessels is to pop the corks on these incredible bottles. I must note how limited we are on quantities here and that this is the only time that Max has done something like this, so grab a 3-pack (or two) while you can\! -Hanna Krilov Cohen Ponson 3-pack is sold out - sorry\!"  
"French New Arrivals: Beck-Hartweg, Martin Texier, Frantz Saumon and More\!",https://chambersstwines.com/blogs/articles/french-new-arrivals-beck-hartweg-martin-texier-frantz-saumon-and-more,"3/27/26 - Today we have some exciting new arrivals from all over France, from Alsace to the Northern Rhone to the Loire Valley and beyond\! Starting in Alsace, recently landed in New York are nine new wines from our friends Florian and Mathilde Beck-Hartweg. While we’ve enjoyed these wines for years, it’s always exciting when a new vintage lands and this time around there are several cuvees that are brand new even to our shelves\! For a bit of background, Eben had written previously about these outstanding natural wines: ""Florian and Mathilde Beck-Hartweg are young winemakers based in the town of Dambach-La-Ville. First available in the States some years ago, the wines have quietly grown a loyal and passionate fan base here in New York, for good reason\! Farming is organic, and they have stopped plowing in recent years, preferring instead to use the ""rollofaquer,"" a farming tool that pushes over plants to create organic cover and protect the humidity and biodiversity in the soil. All wines age in large old barrels of 1000-1500L capacity. Their locality in Dambach-La-Ville is centered around a concentration of granite terroir that lends a fascinating and scintillating minerality and salinity to their wines. They've been inspired by the dynamic natural wine scene in France and beyond, and have changed their approach in the cellar in the last decade, not just in terms of sulfur use, but also stepping away from the tradition of varietal wines and focusing on terroir expression and parcel-specific blending. For example, instead of separately bottling a Riesling, Pinot Gris and Pinot Noir from specific granitic parcels in Dambach-la-Ville, Florian and Mathilde Beck-Hartweg now make a single wine, 'Granite,' that is a blend of all the grapes from said parcel, and the resulting wine expresses the intense granitic structure and spice of those sites."" While on the subject of Alsace, we have some new arrivals from old friends: two bottlings from Bistro Louis Severine (vines in photo above). The Louis in the name is Louis Broderick, from Basket Range winery in Australia, and the Severine is none other our friend Severine Perru, who many New Yorkers will remember sharing a glass with at Ten Bells during her tenure there. Sev was not only the wine director at Ten Bells for many years, but she was most notably one of the most energetic and active advocates for natural wines in New York, organizing countless parties, ""meet the winemaker"" events, and bar takeovers. Even when she moved to Australia first and then back to her native France with Louis, she continued to plan events with winemakers at Ten Bells. Her influence on the New York scene and on a larger scale is long-reaching and we are very happy to now be promoting her fantastic wines from Alsace\! Sev and Louis met in Australia and recently moved to France together. After sourcing some grapes from friends and making wine in the Jura starting in 2019, the duo moved to Alsace, where Sev had long-time friendships with Christian Binner and Jean-Pierre Rietsch, among others. Through support of their peers, they started making their own wines in 2023, with scattered parcels in Ammerschwihr and Katzenthal that they farm and supplemented by organic grapes from neighbors. As described by their NY importer: ""The name “Bistro” reflects their aim to produce honest, drinkable wines meant for the table and shared company."" Made with care and without additives, immensely drinkable and very pure and clean, both of the wines on offer are well worth a try\! Julien is 100% Riesling, from granitic sites in Dambach-la-Ville, where Florian and Mathilde Beck-Hartweg live. It's direct and lifted, with depth and a combination of full texture and mineral cut. Chrysalis is a fascinating co-fermentation of Sylvaner, Pinot Noir and Muscat Ottonel from a parcel Sev and Louis farm in Ammerschwihr. As Sev describes, it's a ""light red with soft tannins and gentle aromatics. Bright Sylvaner acidity, Pinot fruit, and floral Muscat notes."" You can treat it is a light red or a floral pinkish-hued skin-contact; it's absolutely delicious no matter how you describe it\! -Eben Lillie Moving south, we’ve long been fans of natural wine legend Eric Texier in the northern Rhone, known for his outstanding Syrah and Marsanne in little-known areas with great terroir like Brézème and Saint Julien en Saint Alban. Equally as compelling are the wines from his son Martin Texier (pictured above), who has been making wine alongside his father since 2014 and has a knack for coaxing incredible freshness and energy out of his wines. Martin works about five hectares of vines in and around St.-Julien-en-St.-Alban, planted on clay, limestone, gneiss, marl, schist and granite soils. This gives a broad range of flavors and textures that he can draw from to give balance, depth and personality. Tasting his 2023 reds was a revelation—I’ve always enjoyed the wines but they seem to be getting better and better each year, with outstanding "  
Private Collection Recap - Week of 3/23,https://chambersstwines.com/blogs/articles/private-collection-recap-week-of-3-23,"3/24/26 - A variety of great collections, from old Barolo to Burgundy, with many corners of the globe covered in our Australia, Spain, Ports and More collection\! Expansive Range of Barolo Top Seed Burgundy Australia, Spain, Ports and More Click either (or all\!) of the links above to view the collections."  
New to the Shelves: Heresztyn-Mazzini Gevrey-Chambertin,https://chambersstwines.com/blogs/articles/new-to-the-shelves-heresztyn-mazzini-gevrey-chambertin,"3/23/26 - After a recent tasting of the Bourgogne Pinot Noir Champ Franc from Heresztyn-Mazzini, I immediately needed to taste more of the lineup. When a Bourgogne Rouge is this good, it tends to just keep getting better as you move up in vineyard quality, and for Heresztyn-Mazzini that is exactly the case\! After tasting through a fairly comprehensive lineup from regional, village, and premier crus wines I was incredibly impressed at the clear focus of the wines. As you taste across their different vineyards in Gevrey, there is an amazing showcase of terroir, each wine has it's own distinct personality and profile making for some really delicious drinking. Heresztyn-Mazzini comes from the Husband and Wife duo of Florence Heresztyn whose family comes from Gevrey-Chambertin along with Simon Mazzini, a native of Champagne. The two spent ten years working for Florence's family before establishing their own domaine. Today they farm 5.5 hectares mainly in Gevrey with some vines in Morey-Saint-Denis and Chambolle-Musigny. After gaining organic certification in 2014, they immediately began to incorporate biodynamic practices and phytotherapy. They believe strongly in respecting the natural rhythms in the vineyards and the cellar using minimal intervention in both. The resulting wines have incredible sense of place and purity. All the wines available today are from the 2022 vintage, a year that Florence describes as ""generous and promising. The wines are very colorful, supple on the palate and with beautiful concentration. They present structure carried by soft tannins and a roundness coupled with a real density."" On offer today we have their Bourgogne Blanc, Bourgogne Rouge, and Cote de Nuits-Villages, all perfectly ready to drink now, along with two different Gevrey Villages and 1er Cru Goulots which are delicious and could all benefit from additional bottle aging. -Hanna Krilov Cohen \>\>\>VIEW THE WINES\<\<\<"  
The Singular Wines of Domaine Uchida and more Biodynamic Bordeaux\!,https://chambersstwines.com/blogs/articles/the-singular-wines-of-domaine-uchida-and-more-biodynamic-bordeaux,"3/21/26 - In a region steeped in tradition and marked by its own rich history of producing some of the world’s capital-g Great Wines, it’s not often that a relative newcomer can show up and establish themselves as having a unique and distinctive style while still honoring that storied past and local heritage. Osamu Uchida is something of a maverick in that regard, arriving in Bordeaux from Hiroshima first in 1999 to study viticulture and oenology, and eventually establishing his own domaine in 2015 with .6ha of vines in Cissac-Médoc. It’s not a particularly popular spot for new winemakers, especially those looking to work organically and make minimal-intervention wines. Osamu sees this as both a challenge and an opportunity, reflecting that “Everyone was telling me don’t go to Bordeaux, anywhere else is great. So I decided to explore Bordeaux. Then people advised me ok if you go to Bordeaux go to the right bank not the left bank. So I settled in Pauillac on the left bank.” Since then he has expanded to about 2.4ha of vines across five plots in Haut-Médoc, all farmed biodynamically since 2019. He lives in Pauillac, just a stone’s throw from Mouton Rothschild. Everything Osamu does is meticulous and with intention: de-stemming by hand, maceration at cool temperatures and fermentations with native yeasts with no fining or filtration and either no or very minimal use of sulfur. The wines are elegant, heady and pure-fruited while expressing all the character and terroir that makes this land so special. The 2023s are beautifully approachable on release but have enough substance to age a decade or more easily. His Miracle cuvee is 100% Cabernet Sauvignon from his original .6ha plot of vines, planted in deep sandy soils over clay and limestone. The vineyard is remote and surrounded by trees, contributing to Osamu's agroforestry approach. This year he has released two brand new wines, Classical M (100% Merlot) and Classical C (100% Cabernet Sauvignon), both of which show clear varietal character while carrying the same remarkable freshness and vivacity that typify all of Osamu’s wines. Alcohol percentages range from 12.5%-13.5% and never feel clunky or over-extracted. There is still structure and tension, and all three of the reds are exceptional and worth stashing a bottle or two if you can, as we don’t know just when they might come around again. The whites are equally as compelling, his Pheromone Blanc (Sauvignon Blanc and Sauvignon Gris) showing beautiful texture and lift while the 2024 Serenade (also Sauvs Blanc and Gris but with a longer maceration) is ethereal and complex while maintaining an elegant composition and poise. These whites are just as age-worthy as the reds, with great acid structure and density that suggest many layers that may take some time to reveal themselves. With total production between 3,000-5,000 bottles annually, it’s a rare treat to be able to offer these wines that will only become more sought after as the word gets out. In addition to these singular wines from Domaine Uchida, we’ve recently received some shipments of outstanding Bordeaux wines, all farmed organically / biodynamically and at a range of price points. Of particular note are the 2022 Clos Puy Arnaud Castillon Cotes de Bordeaux, showing beautiful richness and depth at an unbelievable price, and the outstanding 2019 Hauts de Smith (Smith Haut-Lafitte) Pessac-Leognan – a wonderful vintage of this wine and consistently one of the best values for left-bank Bordeaux. -Jeff DiLorenzo \>\>\>VIEW THE WINES\<\<\<"  
