producer	wine	vintage	country	region	subregion	price
A. Christmann	Idig Riesling GG	2023	Germany	Pfalz	Pfalz	$89.99
Achim Duerr	Pinot Noir 'Tom'	2022	Germany	Baden		$53.99
Achim Durr	Wolfhag Pinot Noir	2020	Germany	Baden		$37.99
Achim Durr	Wolfhag Pinot Noir	2020	Germany	Germany		$37.99
Achim Durr	Blaufankish (Lemberger) "Vom Keuper"	2020	Germany	Wurttemberg		$48.99
Achim-Durr	Pinot Noir Von Keuper	2020	Germany	Baden		$47.99
Achim-Durr	Pinot Noir "Tom"	2022	Germany	Baden		$44.99
Adank	Alte Reben Flasch Pinot Noir	2024	Switzerland	Graubunden		$71.99
Alain Burguet	Gevrey Chambertin VV Mes Favorites	2016	France	Burgundy	Gevrey-Chambertin	$59.99
Alain Burguet	Gevrey Chambertin VV Mes Favorites	2017	France	Burgundy	Gevrey-Chambertin	$57.99
Andre Francois	Cote Rotie Gerine	2021	France	Rhône		$44.99
Andre Francois	Cote Rotie Gerine	2021	France	Rhône		$43.99
Andre Francois	Condrieu La Maladiere	2020	France	Rhône	Condrieu	$41.99
Andre Francois	Quinet IGP	2021	France	Rhône	Collines Rhodaniennes	$21.99
Andre Francois	Quinet IGP	2021	France	Rhône	Collines Rhodaniennes	$19.99
Andreas Laible	Stollenberg Riesling Grosses Gewachs	2023	Germany	Baden		$43.99
Andreas Laible	Schuerebe Trocken	2023	Germany	Baden		$32.99
Andreas Laible	Muskateller Trocken	2023	Germany	Baden		$30.99
Ar.Pe.Pe	Rocce Rosse Riserva Valtellina Superiore	2016	Italy	Lombardy		$104.00
Ar.Pe.Pe	Valtellina Superiore Grumello "Rocco Del Piro"	2019	Italy	Lombardy		$56.99
Arpepe	Sassella Rocce Rosse Valtellina Superiore DOCG Riserva	2016	Italy	Italy		$95.99
Arpepe	Valtellina Superiore Inferno Fiamme Antiche	2017	Italy	Italy		$43.99
Arpepe	Sasella Valtellina Superiore Stella Retica	2017	Italy	Italy		$42.99
Arpepe	Sassella Rocce Rosse Valtellina Superiore DOCG Riserva	2016	Italy	Lombardy		$99.99
Arpepe	Sassella Nuova Regina Valtellina Superiore Riserva	2016	Italy	Lombardy		$96.99
Arpepe	Grumello Rocca de Piro Valtellina Superiore	2019	Italy	Lombardy		$53.99
Arpepe	Sasella Valtellina Superiore Stella Retica	2017	Italy	Lombardy		$38.99
ArPePe Stella	Retia Valtellina Superiore	2017	Italy	Lombardy		$41.99
Bel Air	Marquis d'Aligre Margaux	1996	France	Bordeaux	Margaux	$85.99
Bel Air	Marquis d'Aligre Margaux	2009	France	Bordeaux	Margaux	$87.99
Bel Air	Marquis d'Aligre Margaux	2010	France	Bordeaux	Margaux	$87.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	1996	France	Bordeaux		$77.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	1998	France	Bordeaux		$77.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	2005	France	Bordeaux		$77.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	2010	France	Bordeaux		$77.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	2011	France	Bordeaux		$69.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	2013	France	Bordeaux		$79.99
Bel Air Marquis dAligre	Bel Air Marquis dAligre	2015	France	Bordeaux		$79.99
Bellaria	Brunello di Montalcino Bernazzi	2019	Italy	Italy		$38.99
Bernard and Fabrice Gripa	St.Joseph Blanc "Le Berceau"	2023	France	Rhône	Saint-Joseph	$89.99
Bernard and Fabrice Gripa	St.Peray Blanc "Les Figuiers"	2023	France	Rhône		$51.99
Bernard Gripa	St. Joseph Le Berceau Rouge	2022	France	Rhône	Saint-Joseph	$75.99
Bernard Gripa	St. Joseph Le Berceau Rouge	2020	France	Rhône	Saint-Joseph	$72.99
Bernard Gripa	St. Joseph Le Berceau Rouge	2021	France	Rhône	Saint-Joseph	$72.99
Bernard Gripa	St Joseph Le Berceau Blanc	2022	France	Rhône	Saint-Joseph	$72.99
Bernard Gripa	St Joseph Le Berceau Blanc	2023	France	Rhône	Saint-Joseph	$69.99
Bernard Gripa	St. Joseph Parady	2020	France	Rhône	Saint-Joseph	$64.99
Bernard Gripa	St. Joseph Parady	2022	France	Rhône	Saint-Joseph	$64.99
Bernard Gripa	St. Joseph Parady	2021	France	Rhône	Saint-Joseph	$62.99
Bernard Gripa	St. Joseph Rouge	2022	France	Rhône	Saint-Joseph	$44.99
Bernard Gripa	St. Peray Les Figuiers	2023	France	Rhône		$38.99
Caillez-Lemaire	Vinootheque	2008	France	Champagne		$120.00
Caillez-Lemaire	Cuvee Jadis	2010	France	Champagne		$59.99
Caillez-Lemaire	Cuvee Jadis	2011	France	Champagne		$61.99
Caillez-Lemaire	Cuvee Jadis	2012	France	Champagne		$59.99
Caillez-Lemaire	Chardonnay de la Valle Blancs de Blancs Brut Nature	2017	France	Champagne		$57.99
Caillez-Lemaire	Pur Meunier	2017	France	Champagne		$64.99
Caillez-Lemaire	Pur Meunier	2017	France	Champagne		$55.99
Caillez-Lemaire	Chardonnay de la Vallée Blanc de Blancs Brut Nature	2018	France	Champagne		$71.99
Caillez-Lemaire	Reflets Extra Brut	NV	France	Champagne		$37.99
Caillez-Lemaire	Rose Brut	NV	France	Champagne		$42.99
Caillez-Lemaire	Eclats Extra Brut	NV	France	Champagne		$41.99
Caillez-Lemaire "Pur Meunier" Brut Nature		2017	France	Champagne		$67.99
Calafe	Taurasi	2018	Italy	Campania	Greco di Tufo	$36.99
Calafe	Greco di Tufo Ariavacchia	2021	Italy	Campania	Greco di Tufo	$34.99
CaLaFe Ariavecchia	Greco di Tufo	2021	Italy	Campania		$36.99
Cantina Del	Signore Gattinara "Il Putto"	2020	Italy	Piedmont		$48.99
