producer	wine	price	country	region	appellation	color	variety
Achim Durr	2020 Blaufankish (Lemberger) "Vom Keuper"	48.99	Germany
Andreas Laible	2023 Muskateller Trocken	30.99	Germany
Andreas Laible	2023 Schuerebe Trocken	32.99	Germany
Ar.Pe.Pe	2016 Rocce Rosse Riserva Valtellina Superiore	103.99	Italy
Ar.Pe.Pe	2019 Valtellina Superiore Grumello "Rocco Del Piro"	56.99	Italy
Arpepe Stella	2017 Retia Valtellina Superiore	41.99
Bernard And Fabrice Gripa	2023 Fabrice Gripa St.Joseph Blanc "Le Berceau"	89.99
Bernard And Fabrice Gripa	2023 Fabrice Gripa St.Peray Blanc "Les Figuiers"	51.99
Caillez Lemaire "Pur Meunier" Brut Nature	2017	67.99
Calafe Ariavecchia	2021 Greco di Tufo	36.99
Cantina Del	2023 Signore Rosè Metodo Classico Extra Dry Millesimato	41.99
Cascina Quarino	2021 "Eclissi" Albugnano Superiore	49.99
Cascina Quarino	2022 Albugnano	33.99
Caves Bourdy	2018 Chateua Chalon	91.99
Caves Bourdy	2018 Vin Jaune	79.99
Caves Jean	2018 Bourdy Château-Chalon	89.99
Cesare Bussolo	2022 Barbera d'Alba Roscaleto	151.99
Cesare Bussolo	2023 Barbera Vigna Santa Lucia	41.99
Château Bonneau	2022 (Montagne-Saint-Émilion)	36.99
Chateau Simone	2022 Palette Blanc	81.99
Chateau Simone	2022 Palette Rouge	81.99
Cianfagna	2013 Aglianico del Molise Riserva "Militum Christi"	38.99
Cianfagna	2018 Sator Gran Maestro Riserva	66.99
Clement Perseval	2013 Millésime Extra Brut	154.99
Cuchet Beliando Cornas	2019	110.99
Domaine Blachon	2023 St. Joseph Rouge "Margariat"	63.99
Domaine Des	2020 Pierres Seches St. Joseph Blanc "Cuvee 1930"	76.99
Domaine Des	2022 Miquettes St. Joseph "Madloba"	63.99
Domaine Des	2022 Pierres Seches St. Joseph Rouge "Cuvee 1930"	76.99
Domaine Des	2023 Pierres Sèches St. Joseph "Revirand"	53.99
Domaine Des	2023 Pierres Seches St. Joseph Blanc	37.99
Domaine Des	2023 Pierres Sèches St. Joseph Rouge	37.99
Domaine Du	2024 Tunnel Condrieu	91.99
Domaine Du	2024 Tunnel St. Peray "Pur Blanc"	109.99
Domaine Philippe	2023 Naddef Fixin Vieilles Vignes	64.99
Dönnhoff	2023 Niederhäuser Hermannshöhle Spätlese	51.99
Familie Jouffreau	2022 Cahors "Clos des Gamot Vignes Centenaires"	48.99
Famlie Jouffreau	2022 Cahors "Clos de Gamot"	27.99
Georges Lelektsoglou	2023 Cairanne Vieilles Vignes	33.99
Gerard Courbis Pere & Fils	2023 St. Joseph Vieilles Vignes	54.99
Gunter Steinmetz	2023 Wintricher Geierslay "Rondel"	28.99
Gunther Steinmetz	2014 Brauneberger Juffer HL	36.99
Gunther Steinmetz	2016 Steinmetz Piesporter Goldtröpfchen "GP"	36.99
Gunther Steinmetz	2020 Kestener Herrenberg Kabinett	27.99
Gunther Steinmetz	2021 Steinmetz "Alter Satz"	24.99
Gunther Steinmetz	2023 Steinmetz Piesporter Goldtröpfchen Kabinett	29.99
Gunther Steinmetz	2023 Steinmetz Wehlener Sonnenuhr Kanbinett	29.99
Gunther Steinmetz	2023 Wintricher Ohligsberg "Rondel"	27.99
Gunther Steinmetz	2024 Piesporter Treppchen Kabinett	33.99
Gunther Steinmetz	2024 Steinmetz Wintricher Großer Herrgott Kabinett	28.99
Gut Hermannsberg	2022 Traiser Bastein GG	91.99
Josef Walter	2008 Spatburgunder Centgrafenberg "J"	47.99
Josef Walter	2020 Pinot 274	106.99
Julien Barge	2023 Côte Rotie "Les Côtes"	99.99
Jurgen Von Der Mark	2023 Spatburgunder "Merdinger"	26.99
Juwel	2021 Alsheim Spatburgunder	31.99
La Psigula	2021 Bramaterra	45.99
La Psigula	2021 Bramaterra Riserva "Vigna Torre"	73.99
Lauer	2023 Schönfels GG Trocken N°11	55.99
Laurent Boussey	2022 Auxey Duresses Les Closeaux	39.99
Lyle Fass/Charalambos	2019 Lelektsoglou VDF "Cuvée Ariane - Vieilles Vignes"	33.99
Marc Jambon	2023 Macon Pierrclos "La Fossile"	33.99
Markus Moitor	2022 Graacher Himmelreich Auslese* Green Capsule	51.99
Martin Muellen	2014 Krover Steffensberg Spatlese Trocken	55.99
Martin Muellen	2015 Krover Steffensberg Kabinett Trocken	39.99
Martin Muellen	2021 Trarbacher Huhnerberg Kabinett Trocken	31.99
Martin Mullen	2023 Trabener Wurzgarten Auslese Trocken	89.99
Martin Mullen	2023 Trarbacher Huhnerberg Auslese "Schmoll"	81.99
Martin Müllen	2023 Kröver Paradies Spätlese Trocken * "Fallay"	29.99
Martin Müllen	2023 Trarbacher Hühnerberg Kabinett Trocken*	28.99
Martin Müllen	2023 Trarbacher Hühnerberg Spatlese Trocken**	51.99
Michel Rebourgeon	2023 Maranges 1er cru "Clos Roussots"	45.99
Mickael Bourg	2023 VDF "La Démarcante"	41.99
Motalli Renato	2018 "Le Urscele" Valtellina Superiore Riserva	49.99
Motalli Renato	2018 Valgella Valtellina Superiore	38.99
Paul Weltner	2023 Rödelsee Küchenmeister Sylvaner Trocken Erste Lage	33.99
Paul Weltner	2023 Rodelsee Schwainlate Sylvaner Alte Reben	33.99
Philippe Naddef	2023 Marsannay "Genelieres"	41.99
Phillippe Naddef	2023 Fixin Blanc	41.99
Pierre Gonon	2023 St. Joseph Blanc "Les Olivieres"	139.99
Pierre Gonon	2023 St. Joseph Rouge	139.99
Pircher	2024 Gewürztraminer Eglisau	45.99
Podere Ai	2023 Valloni Colline Novaresi "Sass Russ"	31.99
Richard Ostreicher	2023 Silvaner "Maria im Wein"	51.99
Richard Ostreicher	2023 Silvaner "Sur Lie"	36.99
Richard Ostreicher	2023 Spatburgunder Hallburg	44.99
Rochhe De Barbari	2019 "Primanebbia"	41.99
Sekthaus Raumland	2015 Triumvirat XV Grande Cuvée Brut	86.99
Später Veit	2023 Piesporter Goldtröpfchen Kabinett "Armes"	28.99
Sven Enderle	2022 Müller-Thurgau	26.99
Tenuta Col Falco	2019 Montefalco Rosso	21.99
Tenuta Col Falco	2019 Sagrantino di Montefalco	31.99
Tenuta Col Falco	2019 Sagrantino di Rosso Passito {500 ml}	31.99
Thorle Blanc	2021 de Blancs	32.99
Thörle Blanc	2021 de Blancs Brut	36.99
Thorle Probstey	2022 Spatburgunder	73.99
Thorle Probstey	2023 Silvaner "GG"	47.99
Thorle Saulheimer	2022 Spatburgunder Kalkstein	37.99
Vigneti Valle	2018 Roncati Spanna "Runca"	29.99
Vini Chiussima	2023 Pajarin Erbaluce	28.99
Vini Marino Proclamo Cilento	2016 Aglianico Riserva	48.99
Vini Marino Proclamo Cilento	2024 Fiano Vendemia Tardiva	31.99
Wegelin Weisstorkel	2022 Blauburgunder	55.99
Weingut Riehen	2018 Le Cidre - Riechner Epfel Basel-Stadt Late Disgorged	50.99
Wilhelm Weber Osterman	1993 Brauneberger Juffer Auslese	41.99
Yvon Metras	2023 Beaujolais Villages	48.99
Ziereisen	2021 Jaspis Spatburgunder Alte Reben 10-4	181.99
Ziereisen	2022 Spatburgunder Schulen	31.99
Bel Air	1996 Marquis d'Aligre Margaux	85.99	France	Bordeaux	Margaux
Bel Air	2009 Marquis d'Aligre Margaux	87.99	France	Bordeaux	Margaux
Bel Air	2010 Marquis d'Aligre Margaux	87.99	France	Bordeaux	Margaux
Cantina Del	2020 Signore Gattinara "Il Putto"	48.99	Italy	Piedmont
Cesare Bussolo	2022 Barolo "Fossati"	181.99	Italy	Piedmont
Cesare Bussolo	2022 Barolo "La Serra"	181.99	Italy	Piedmont
Château De	2023 Trinquevedel Tavel "Les Vignes d'Eugène" Rosé	40.99				Rosé
Clément Perseval	2016 "Les Rouleuax" Extra Brut Blanc de Blancs	99.99	France	Champagne
Compagnie L'Hermitage	2021 Chateauneuf-du-Pape "lieu dit Pignan"	91.99	France	Rhône
Compagnie L'Hermitage	2022 (Lelektsoglou) Côte Rôtie "La Brocarde"	161.99	France	Rhône
Cuchet Beliando	2015 Cornas	115.99	France	Rhône	Cornas
Cuchet Beliando	2016 Cornas	114.99	France	Rhône	Cornas
Cuchet Beliando	2018 Cornas	104.99	France	Rhône	Cornas
Cuchet Beliando	2020 Cornas	110.99	France	Rhône	Cornas
Domaine De La Côte	2024 St. Épine Saint-Joseph Cuvée L'Élégance	28.99	France	Rhône
Domaine Jasmin	2020 Cote-Rotie "Olea"	79.99	France	Rhône
Domaine Saint Damien	2023 Gigondas Vieilles Vignes	31.99	France	Rhône	Gigondas
E. Guigal	2021 Cote Rotie La Landonne	1109.97	France	Rhône
