Name,producer_guess,Vintage,Format,Category,Price,price_usd,Region/Notes
Chateau Petrus,Chateau Petrus,2006,750ml,Red Wine,"$4,999.99",4999.99,"Pomerol (WE: 95-97, WA: 96)"
Romanee Conti DRC - Corton Charlemagne Grand Cru,Romanee Conti DRC,2022,750ml,White Wine,"$4,999.99",4999.99,Burgundy (Chardonnay)
Chateau Petrus,Chateau Petrus,1967,750ml,Red Wine,"$3,499.99",3499.99,Pomerol (WA: 99)
Domaine Armand Rousseau - Chambertin Grand Cru,Domaine Armand Rousseau,2021,750ml,Red Wine,"$2,700.00",2700.0,Burgundy (Pinot Noir)
A.F. Gros - Richebourg,A.F. Gros,2022,1.5L,Red Wine,"$2,799.99",2799.99,Cote de Nuits (Pinot Noir)
Domaine de la Romanee-Conti - Echezeaux,Domaine de la Romanee-Conti,2022,750ml,Red Wine,"$2,429.99",2429.99,Burgundy (Pinot Noir)
Domaine Leflaive - Chevalier-Montrachet,Domaine Leflaive,2022,750ml,White Wine,"$2,099.99",2099.99,Burgundy (D: 97)
Méo-Camuzet - Vosne-Romanée Au Cros Parantoux,Méo-Camuzet,2023,750ml,Red Wine,"$2,249.99",2249.99,Burgundy (Pinot Noir)
Domaine Georges & Christophe Roumier - Bonnes Mares Grand Cru,Domaine Georges & Christophe Roumier,2022,750ml,Red Wine,"$1,889.99",1889.99,"Burgundy (WA: 96-98, V: 96-98)"
Chateau Lafite Rothschild,Chateau Lafite Rothschild,1967,1.5L,Red Wine,"$1,799.99",1799.99,Pauillac (Bordeaux)
Chateau Lafite Rothschild,Chateau Lafite Rothschild,1983,1.5L,Red Wine,"$1,799.99",1799.99,Pauillac (Bordeaux)
Chateau La Fleur-Petrus,Chateau La Fleur-Petrus,2018,3L,Red Wine,"$1,529.99",1529.99,"Pomerol (JS: 99, WA: 97+)"
Domaine du Comte Liger-Belair - Nuits St Georges 1er Cru Aux Cras,Domaine du Comte Liger-Belair,2009,750ml,Red Wine,"$1,529.99",1529.99,Burgundy (Pinot Noir)
Dom Perignon - Rose P2,Dom Perignon,1995,750ml,Sparkling Wine,"$1,599.99",1599.99,Champagne
Dom Perignon - Rose P2,Dom Perignon,2000,750ml,Sparkling Wine,"$1,599.99",1599.99,Champagne
Chateau Haut Brion,Chateau Haut Brion,2019,1.5L,Red Wine,"$1,799.99",1799.99,"Pessac Leognan (JS: 100, V: 99)"
Bruno Colin - Batard Montrachet Grand Cru,Bruno Colin,2022,750ml,White Wine,"$1,349.99",1349.99,Burgundy (Chardonnay)
Château Margaux,Château Margaux,2011,1.5L,Red Wine,"$1,259.99",1259.99,"Margaux (D: 96, WE: 95)"
A.F. Gros - Richebourg,A.F. Gros,2022,750ml,Red Wine,"$1,199.99",1199.99,Burgundy (Pinot Noir)
Krug - Brut Champagne Collection,Krug,1995,750ml,Sparkling Wine,"$1,169.99",1169.99,Champagne
Chateau d'Armailhac,Chateau d'Armailhac,2005,6L,Red Wine,"$1,169.99",1169.99,Pauillac (Bordeaux Blend)
Domaine Leflaive - Puligny-Montrachet Les Pucelles,Domaine Leflaive,2022,750ml,White Wine,$998.99,998.99,"Burgundy (WA: 95, JS: 95)"
Ramonet - Batard Montrachet Grand Cru,Ramonet,2020,750ml,White Wine,"$1,169.99",1169.99,Burgundy (Chardonnay)
