slug,name,country,region,sub_region,url,notes
arnoux_lachaux,Arnoux-Lachaux,France,Burgundy,Vosne-Romanée,https://veritaswine.com/producer/arnoux-lachaux/,Pascal + Charles Lachaux; 14.5 ha old-vine Pinot >55 yrs; regenerative + biodynamic; organic in conversion
gerard_mugneret,Gérard Mugneret,France,Burgundy,Côte de Nuits,https://veritaswine.com/producer/gerard-mugneret/,~7 ha across Vosne-Romanée Nuits-St-Georges Chambolle Flagey-Échezeaux
denis_bachelet,Denis Bachelet,France,Burgundy,Gevrey-Chambertin,https://veritaswine.com/producer/denis-bachelet/,4.3 ha with son Nicholas; towering reputation
sylvain_pataille,Sylvain Pataille,France,Burgundy,Marsannay,https://veritaswine.com/producer/sylvain-pataille/,15 ha; Ecocert organic since 2008; biodynamic since 2007; Aligoté champion
domaine_de_montille,Domaine de Montille,France,Burgundy,Volnay,https://veritaswine.com/producer/domaine-de-montille/,Founded 1730; Etienne de Montille
chateau_lynch_bages,Château Lynch-Bages,France,Bordeaux,Pauillac,https://veritaswine.com/producer/chateau-lynch-bages/,5th-growth Pauillac; Cazes family; 100 ha
demiere_ansiot,Demière-Ansiot,France,Champagne,Oger / Côte des Blancs,https://veritaswine.com/producer/demiere-ansiot/,100% Chardonnay grower run by Nicolas Demière
jose_dhondt,José Dhondt,France,Champagne,Côte des Blancs,https://veritaswine.com/producer/jose-dhondt/,Grower from 1976; succeeded by daughter Marie Dhondt
bruno_gobillard,Bruno Gobillard,France,Champagne,,https://veritaswine.com/producer/bruno-gobillard/,Grower-producer
gratiot_cie,Gratiot & Cie,France,Champagne,,https://veritaswine.com/producer/gratiot-cie/,Grower-producer
hugues_godme,Hugues Godmé,France,Champagne,Montagne de Reims,https://veritaswine.com/producer/hugues-godme/,Récoltant-manipulant; organic + biodynamic; founded 1930
pierre_gerbais,Pierre Gerbais,France,Champagne,Aube / Côte des Bar,https://veritaswine.com/producer/pierre-gerbais/,Celles-sur-Ource; 18 ha; 3rd-gen Aurélien Gerbais
le_brun_servenay,Le Brun Servenay,France,Champagne,Avize / Côte des Blancs,https://veritaswine.com/producer/le-brun-servenay/,Grower-producer
camille_saves,Camille Savès,France,Champagne,Bouzy,https://veritaswine.com/producer/camille-saves/,Grand cru Bouzy estate ~10 ha; winemaker Hervé Savès
domaine_vincey,Domaine Vincey,France,Champagne,Côte des Blancs / Oger,https://veritaswine.com/producer/domaine-vincey/,Quentin Vincey + Marine Zabarino; 8-generation family in Oger
roland_thevenin,Roland Thévenin,France,Burgundy,,https://veritaswine.com/producer/roland-thevenin/,Burgundy producer (region inferred; refine on re-scrape)
maison_and_domaine_leroy,Maison and Domaine Leroy,France,Burgundy,Côte de Nuits,https://veritaswine.com/producer/maison-and-domaine-leroy/,Lalou Bize-Leroy; biodynamic; 21 ha primarily Côte de Nuits
charles_lachaux,Charles Lachaux,France,Burgundy,Vosne-Romanée,https://veritaswine.com/producer/charles-lachaux/,Charles Lachaux personal label
chavy_chouet,Chavy-Chouet,France,Burgundy,Côte de Beaune,https://veritaswine.com/producer/chavy-chouet/,15 ha across Puligny Meursault St. Aubin Volnay Pommard
domaine_de_cassiopee,Domaine de Cassiopée,France,Burgundy,Maranges,https://veritaswine.com/producer/domaine-de-cassiopee/,Formed 2020 by Hugo Mathurin + Talloulah Dubourg
bruno_clair,Bruno Clair,France,Burgundy,Marsannay,https://veritaswine.com/producer/bruno-clair/,24 ha; choice parcels across Burgundy's finest vineyards
michel_lafarge,Michel Lafarge,France,Burgundy,Volnay,https://veritaswine.com/producer/michel-lafarge/,Cellars dug by Dukes of Burgundy; multi-generational
comte_armand,Comte Armand & Clos des Épeneaux,France,Burgundy,Pommard,https://veritaswine.com/producer/comte-armand/,10 ha incl. 5 ha monopole Clos des Épeneaux
parigot_richard,Parigot & Richard,France,Burgundy,Savigny-lès-Beaune,https://veritaswine.com/producer/parigot-richard/,Burgundy producer
jean_marc_thomas_bouley,Jean-Marc & Thomas Bouley,France,Burgundy,Volnay,https://veritaswine.com/producer/jean-marc-thomas-bouley/,Volnay father-and-son domaine
caroline_bellavoine,Caroline Bellavoine,France,Burgundy,Maranges / Côte Chalonnaise,https://veritaswine.com/producer/caroline-bellavoine/,Established 2003; 6 ha southern Côte de Beaune
domaine_des_croix,Domaine des Croix,France,Burgundy,Beaune,https://veritaswine.com/producer/domaine-des-croix/,Beaune-based domaine
domaine_de_la_vougeraie,Domaine de la Vougeraie,France,Burgundy,Côte de Nuits & Côte de Beaune,https://veritaswine.com/producer/domaine-de-la-vougeraie/,34 ha across Côte de Nuits + Côte de Beaune
chantereves,Chanterêves,France,Burgundy,Côte de Beaune,https://veritaswine.com/producer/chantereves/,Micro-négociant; Tomoko Kuriyama + Guillaume Bott
les_horees,Les Horées,France,Burgundy,Côte de Beaune,https://veritaswine.com/producer/les-horees/,Founded 2019; 1.3 ha incl. Pommard + Puligny
aurelien_revillot,Aurélien Revillot,France,Burgundy,,https://veritaswine.com/producer/aurelien-revillot/,Organic certified since 2015
bessin_tremblay,Bessin-Tremblay,France,Burgundy,Chablis,https://veritaswine.com/producer/bessin-tremblay/,Established 1992; Romain + Antoine Tremblay since 2020; Kimmeridgian
denis_race,Denis Race,France,Burgundy,Chablis,https://veritaswine.com/producer/denis-race/,5th-gen Claire Race; 18 ha incl. Premier + Grand Cru
philippe_pacalet,Philippe Pacalet,France,Burgundy,,https://veritaswine.com/producer/philippe-pacalet/,Worked with Henri Jayer in Vosne-Romanée; non-interventionist négoce
nicolas_faure,Nicolas Faure,France,Burgundy,Côte de Nuits,https://veritaswine.com/producer/nicolas-faure/,Burgundy producer
sylvain_cathiard,Sylvain Cathiard,France,Burgundy,Vosne-Romanée,https://veritaswine.com/producer/sylvain-cathiard/,12.5 ha principally in Vosne-Romanée
rossignol_changarnier,Rossignol-Changarnier,France,Burgundy,,https://veritaswine.com/producer/rossignol-changarnier/,Burgundy producer
jean_baptiste_hardy,Jean-Baptiste Hardy,France,Burgundy,,https://veritaswine.com/producer/jean-baptiste-hardy/,Organic + biodynamic principles; region uncertain — refine on re-scrape
bret_brothers,Bret Brothers (La Soufrandière),France,Burgundy,Mâconnais,https://veritaswine.com/producer/bret-brothers/,Vinzelles / Pouilly-Vinzelles; estate established 1947
vincent_pinard,Vincent Pinard,France,Loire,Sancerre,https://veritaswine.com/producer/vincent-pinard/,Bué; 17 ha incl. Sauvignon + Pinot Noir; organic cert 2004
